function,description,sqliteDbAverage (ns),mockDbAverage (ns)
drop,"(drop 1 longNumberList)
",3496858.0010311306,3473152.4445767812
drop,"(drop 1 medNumberList)
",26122.06133948441,25939.53969446696
drop,"(drop 1 smallNumberList)
",8723.512260334826,8734.060590549854
drop,"(drop -1 longNumberList)
",3648305.4213005938,3656382.941675274
drop,"(drop -1 medNumberList)
",27482.73124052265,27112.748781547514
drop,"(drop -1 smallNumberList)
",8865.566219285723,8780.167410009524
drop,"(drop longEscapedStrList longOjectMap)
",2.5797532774378035e7,2.594468718078795e7
drop,"(drop medEscapedStrList medOjectMap)
",87493.27746072963,86844.8563546821
drop,"(drop smallEscapedStrList smallOjectMap)
",13643.072701403906,13387.933415823574
drop,"(drop [""a1""] longOjectMap)
",1.0613607443986379e7,1.0485793688498436e7
drop,"(drop [""a1""] medOjectMap)
",40939.24140306615,41285.78907558093
drop,"(drop [""a1""] smallOjectMap)
",11105.367843847334,10938.670201687657
enforce,"(enforce true ""some-error-message"")
",5354.520620471404,5347.138301478678
enforce-guard,"(enforce-guard ""some-loaded-keyset"")
",23150.973386891917,5962.743037462288
enforce-keyset,"(enforce-keyset 'some-loaded-keyset)
",23057.784899913608,5950.106619655875
enforce-one,"(enforce-one ""some-error-message"" longEnforceList)
",2.551054528793494e7,2.5726209861307714e7
enforce-one,"(enforce-one ""some-error-message"" medEnforceList)
",110507.59165830746,109974.26710655009
enforce-one,"(enforce-one ""some-error-message"" smallEnforceList)
",17518.075559245943,17357.744791328387
enforce-pact-version,"(enforce-pact-version ""3.0"")
",4679.793923107055,4699.471889922948
exp,"(exp 1)
",17529.777917791314,17668.47980495117
exp,"(exp 10)
",16435.535692534457,16938.486334443554
exp,"(exp 100)
",12922.053905765011,12729.015443914504
filter,"(filter (constantly true) longNumberList)
",6266858.743550521,6257470.0646079555
filter,"(filter (constantly true) medNumberList)
",51642.06693490261,51944.96394622782
filter,"(filter (constantly true) smallNumberList)
",11509.94811601504,11298.853422454626
floor,"(floor longNumber.12345)
",7666.9344318276635,7646.5752197367265
floor,"(floor medNumber.12345)
",7691.467492809806,7667.12745933132
floor,"(floor smallNumber.12345)
",7688.012882260123,7642.05643509778
floor,"(floor longNumber.12345 4)
",6620.399887414082,6579.052334706019
floor,"(floor medNumber.12345 4)
",6663.995386016545,6592.167846075812
floor,"(floor smallNumber.12345 4)
",6447.891371086516,6612.336472074602
fold,"(fold (constantly 0) 1 longNumberList)
",5001019.786065313,4988963.486106655
fold,"(fold (constantly 0) 1 medNumberList)
",46330.29743680833,45457.068205173615
fold,"(fold (constantly 0) 1 smallNumberList)
",10791.91082705232,10803.343213102498
format,"(format ""{}...{}"" longEscapedStrList)
",3.7027394850140605e9,3.7080379947984614e9
format,"(format ""{}...{}"" medEscapedStrList)
",280623.2493089616,280666.85104808764
format,"(format ""{}...{}"" smallEscapedStrList)
",12335.254355157864,12250.032597579979
format,"(format ""{}...{}"" longNumberList)
",3.0890937674722257e9,3.088402702958244e9
format,"(format ""{}...{}"" medNumberList)
",256813.37734164073,256150.05628758247
format,"(format ""{}...{}"" smallNumberList)
",16529.60945707041,16246.142732441775
format-time,"(format-time ""%F"" (time ""2016-07-22T12:00:00Z""))
",10513.546733861811,10734.320156327974
format-time,"(format-time ""%Y-%m-%dT%H:%M:%S%N"" (time ""2016-07-23T13:30:45Z""))
",14494.277589902666,14202.972343161548
hash,"(hash longString)
",29225.18106283226,29314.845504625642
hash,"(hash medString)
",8599.940029069714,8612.13395931605
hash,"(hash smallString)
",8490.624118999023,8382.901678786606
hash,"(hash longOjectMap)
",2.8972165430376735e7,2.8747007677888006e7
hash,"(hash medOjectMap)
",109260.48830281069,110568.08493241074
hash,"(hash smallOjectMap)
",22698.442364863917,21771.816237861305
hours,"(hours longNumber)
",13149.458314912417,13220.109182279559
hours,"(hours medNumber)
",13136.679407940968,12875.766799590807
hours,"(hours smallNumber)
",13086.463928509052,13132.949716159312
identity,"(identity longNumberList)
",3479245.473523462,3471446.754151879
identity,"(identity medNumberList)
",25808.636160340004,25785.61315663865
identity,"(identity smallNumberList)
",8547.46369846784,8422.681643744068
if,"(if true ""then-clause"" ""else-clause"")
",5123.005214929707,5030.176348206114
insert,"(insert accounts.accounts
        ""some-id-that-is-not-present""
        { ""balance"": 0.0 }
)
",56571.705044836905,9068.065030444375
install-capability,"(install-capability (accounts.MANAGEDCAP """" """"))
",10451.153273867496,10283.927832849336
int-to-str,"(int-to-str 64 10000)
",5096.987908726741,5059.3931901105325
int-to-str,"(int-to-str 2 10000)
",7110.059908496455,7050.925355390816
int-to-str,"(int-to-str 3 10000)
",6694.795077343352,6674.706140286634
